Person_ID,Age,Gender,Occupation,Monthly_Income,City_Type,Travel_Distance,Travel_Time,Fuel_Cost,Vehicle_Ownership,Preferred_Transport_Mode,Purpose_of_Travel,Satisfaction_Score
161,27,Female,Business,5181,Urban,27.0855434587053,52,0.81,Yes,Car,Work,7.3
162,53,Female,Business,7134,Urban,16.1807805506652,32,4.31,Yes,Car,Leisure,8.5
163,59,Female,Employee,5995,Semi-Urban,25.9934498529919,52,5.2,No,Bus,Leisure,5.4
164,29,Male,Business,11438,Rural,21.4790191660857,45,1.38,Yes,Bike,Leisure,6.3
165,56,Female,Employee,6680,Rural,21.1997892735993,45,2.41,Yes,Car,Leisure,8.2
166,48,Male,Business,9683,Semi-Urban,40.6504227301457,81,6.57,Yes,Car,Leisure,7.8
167,54,Female,Business,15951,Urban,26.6078105835998,53,3.28,Yes,Bus,Leisure,8.0
168,70,Male,Self-Employed,3255,Semi-Urban,29.068113549432,59,4.55,No,Bus,Work,5.5
169,38,Female,Employee,4709,Semi-Urban,26.6641930677595,61,4.15,Yes,Car,Education,6.8
170,30,Female,Employee,3846,Urban,20.5798487264894,32,1.83,Yes,Metro,Leisure,7.1
171,28,Female,Employee,7227,Semi-Urban,24.7107911914287,44,4.0,Yes,Bus,Work,6.4
172,29,Male,Employee,7890,Urban,17.1958632610273,37,0.13,Yes,Car,Shopping,8.0
173,40,Male,Business,11754,Urban,15.3344116006841,32,2.63,Yes,Car,Shopping,7.7
174,47,Female,Self-Employed,7066,Semi-Urban,28.8579791213291,59,3.31,No,Train,Shopping,7.4
175,46,Female,Employee,5729,Semi-Urban,34.7669276189521,72,3.45,Yes,Car,Work,5.9
176,54,Male,Employee,10320,Semi-Urban,61.4472817197496,123,4.88,Yes,Bus,Work,5.6
177,42,Female,Employee,6601,Urban,19.8362635528076,36,2.64,No,Bus,Work,5.4
178,63,Female,Employee,9579,Semi-Urban,51.3875120638396,105,6.24,Yes,Car,Leisure,5.0
179,38,Male,Employee,5641,Rural,31.6261127815987,63,2.12,Yes,Bike,Work,7.5
180,75,Female,Retired,2731,Rural,71.9187229521514,141,5.44,Yes,Car,Work,5.4
181,51,Female,Business,16139,Urban,20.1121638037518,43,0.0,Yes,Car,Work,8.2
182,29,Male,Employee,5709,Urban,3.00323122752505,9,0.0,No,Bus,Leisure,7.6
183,25,Male,Employee,6677,Semi-Urban,43.0968610005665,87,5.78,No,Bus,Education,4.7
184,49,Female,Business,11615,Urban,10.8938069056425,30,5.01,No,Walk,Education,6.3
185,38,Female,Employee,4527,Urban,2.63357058939507,11,0.23,No,Bus,Work,5.9
186,52,Male,Business,9549,Urban,16.0382058586209,37,0.0,Yes,Car,Shopping,7.7
187,49,Female,Business,11158,Semi-Urban,43.0856388659391,99,4.76,Yes,Bus,Education,5.7
188,40,Female,Business,7620,Semi-Urban,37.2741210296684,73,6.98,No,Bus,Work,5.2
189,29,Female,Employee,3238,Urban,14.1268913212339,25,0.33,Yes,Bus,Work,5.6
190,19,Male,Student,2100,Urban,12.3553172923333,29,3.72,Yes,Car,Work,8.3
191,35,Female,Business,7115,Semi-Urban,71.9988201401233,142,8.99,Yes,Car,Work,5.4
192,54,Male,Business,12014,Urban,5.53944489177083,11,1.96,No,Walk,Leisure,8.4
193,45,Male,Employee,6944,Semi-Urban,48.093829735358,91,9.49,Yes,Car,Others,8.4
194,23,Male,Student,1205,Urban,15.1233837671118,33,0.0,No,Bus,Work,4.9
195,44,Female,Employee,8576,Urban,8.16426794986374,8,2.77,No,Bus,Leisure,7.0
196,47,Female,Employee,5024,Urban,14.6128075949713,28,1.56,No,Bus,Shopping,5.9
197,28,Male,Employee,5192,Semi-Urban,14.1060104361707,28,0.0,Yes,Bus,Education,4.6
198,44,Female,Employee,6769,Semi-Urban,26.0676438978971,49,2.93,No,Train,Work,8.5
199,42,Male,Employee,6118,Urban,14.6245253933151,20,5.14,Yes,Bus,Education,6.2
200,24,Male,Employee,2454,Urban,2.59106353120696,5,2.98,Yes,Metro,Shopping,6.9
201,47,Other,Employee,8006,Urban,19.0510603079044,34,0.0,Yes,Metro,Work,6.6
202,50,Female,Business,13230,Semi-Urban,20.543584386327,43,0.93,Yes,Car,Education,9.0
203,58,Male,Business,10173,Urban,3.38623233589158,8,2.29,Yes,Bus,Leisure,7.1
204,57,Female,Employee,8761,Urban,6.35665811337303,12,0.72,Yes,Car,Leisure,8.7
205,21,Male,Employee,4662,Semi-Urban,67.6393124275323,130,8.08,Yes,Bus,Education,5.4
206,27,Male,Business,3708,Semi-Urban,5.3290378719674,12,0.0,Yes,Car,Leisure,6.8
207,49,Female,Employee,5619,Urban,18.4889847101583,27,0.73,No,Metro,Leisure,4.8
208,49,Female,Employee,8607,Urban,8.9869098318457,5,0.0,Yes,Bus,Leisure,6.6
209,49,Male,Employee,7364,Rural,42.9974365696487,84,1.85,Yes,Car,Education,7.1
210,75,Female,Self-Employed,4371,Rural,62.0786185736066,121,4.93,Yes,Car,Education,6.6
211,50,Female,Business,8424,Urban,19.4385497187113,43,0.48,Yes,Car,Work,9.1
212,59,Male,Employee,7126,Semi-Urban,24.7895537125731,50,1.45,Yes,Bus,Others,6.0
213,56,Female,Business,10566,Semi-Urban,14.6326399005005,37,0.07,Yes,Bus,Work,7.3
214,51,Female,Employee,5831,Rural,62.4428194740127,122,9.53,Yes,Car,Work,7.0
215,37,Female,Employee,3087,Urban,19.4190175440747,41,0.52,Yes,Car,Work,6.0
216,53,Female,Business,14870,Semi-Urban,30.7254573681771,60,6.54,Yes,Car,Shopping,7.6
217,30,Female,Employee,6455,Semi-Urban,41.6291657571256,90,4.03,Yes,Car,Leisure,8.0
218,38,Male,Business,5380,Urban,11.4333641521957,21,2.25,No,Bus,Education,5.4
219,34,Female,Business,9008,Semi-Urban,22.5944365244781,49,3.65,Yes,Car,Shopping,8.2
220,43,Female,Business,7243,Urban,15.0316974489686,24,0.01,Yes,Bus,Shopping,5.5
221,75,Male,Retired,2738,Urban,19.1522619287321,36,1.64,Yes,Car,Education,7.7
222,18,Female,Employee,3282,Urban,17.4740021564194,34,1.09,No,Metro,Leisure,7.4
223,52,Female,Self-Employed,4644,Rural,60.1832536015334,126,7.97,Yes,Car,Shopping,6.2
224,18,Female,Student,2501,Semi-Urban,23.5913169006631,36,2.57,Yes,Car,Work,7.5
225,34,Male,Employee,4739,Semi-Urban,58.7282168713737,115,5.55,Yes,Car,Education,6.8
226,58,Male,Employee,6587,Semi-Urban,29.8642871699206,57,3.82,Yes,Car,Leisure,6.8
227,42,Female,Business,7512,Urban,14.0486747881872,17,2.37,Yes,Bus,Leisure,6.5
228,25,Male,Business,10381,Urban,4.45075272625705,6,4.23,Yes,Bus,Work,7.5
229,31,Female,Employee,2621,Semi-Urban,32.0921726555407,56,3.99,No,Train,Work,7.7
230,52,Male,Self-Employed,3974,Rural,60.6447547370303,109,7.3,Yes,Car,Shopping,6.4
231,31,Male,Employee,7270,Urban,21.1000849015413,40,3.39,Yes,Bus,Work,7.6
232,45,Male,Business,10981,Urban,27.4955258974942,53,1.4,Yes,Metro,Shopping,7.5
233,42,Male,Employee,6487,Urban,19.1618791666036,37,0.0,No,Metro,Work,6.4
234,32,Female,Employee,8398,Urban,17.2153055663976,35,1.44,Yes,Metro,Leisure,6.8
235,74,Male,Retired,3246,Urban,11.4296391078854,18,3.52,Yes,Car,Leisure,7.3
236,51,Male,Employee,6037,Semi-Urban,25.0738938765048,59,5.48,Yes,Car,Education,7.3
237,18,Male,Employee,3376,Urban,22.7619881173452,45,0.0,Yes,Metro,Work,7.2
238,44,Female,Employee,4696,Urban,22.6085628139112,51,4.05,No,Bus,Work,5.2
239,32,Male,Employee,7083,Semi-Urban,18.8448094872684,29,0.0,Yes,Car,Leisure,9.5
240,54,Female,Employee,8261,Rural,64.4619177430696,124,8.65,Yes,Car,Education,8.2
241,30,Female,Employee,6686,Urban,20.2030695311667,43,3.22,Yes,Bus,Education,5.2
242,40,Female,Business,13138,Semi-Urban,18.292866724787,35,0.0,Yes,Bus,Work,7.0
243,49,Female,Business,9607,Urban,19.3236544383134,33,4.32,Yes,Metro,Work,8.1
244,54,Female,Employee,5982,Rural,29.0090708103638,48,6.97,Yes,Car,Education,8.0
245,23,Female,Employee,4222,Semi-Urban,1.0,5,0.0,Yes,Bus,Work,4.9
246,36,Male,Employee,4290,Semi-Urban,32.5984637946192,68,4.19,Yes,Car,Work,5.6
247,34,Male,Self-Employed,5829,Urban,17.0625176420399,35,5.01,Yes,Car,Education,6.6
248,32,Male,Self-Employed,7764,Semi-Urban,33.2739379267533,64,1.74,Yes,Car,Leisure,8.7
249,68,Female,Retired,2831,Semi-Urban,78.0066022578196,150,7.16,Yes,Train,Work,5.4
250,48,Female,Self-Employed,5799,Urban,18.0308098338797,35,0.48,Yes,Bus,Work,6.7
251,23,Female,Employee,4159,Urban,16.1771345543896,25,2.02,No,Bus,Leisure,6.3
252,55,Male,Business,14158,Semi-Urban,41.4438695497113,79,5.04,Yes,Car,Shopping,8.2
253,73,Female,Retired,2332,Semi-Urban,28.3802149339985,63,2.3,No,Bike,Work,5.9
254,57,Male,Employee,4405,Urban,22.4358324967483,35,2.09,Yes,Metro,Education,6.3
255,19,Male,Student,1735,Semi-Urban,40.4150291926565,84,3.77,Yes,Car,Shopping,6.1
256,34,Male,Employee,6881,Urban,17.5213736311399,42,1.12,Yes,Car,Others,5.9
257,61,Male,Business,13989,Urban,10.0070382170644,24,0.0,Yes,Metro,Work,8.9
258,31,Female,Employee,4139,Semi-Urban,11.5350451032635,25,0.0,Yes,Car,Leisure,6.7
259,48,Male,Employee,5097,Urban,10.9889112873816,19,0.0,Yes,Metro,Education,9.3
260,53,Male,Employee,8041,Urban,17.2610708500791,31,1.62,No,Bus,Work,6.4
261,28,Female,Employee,5012,Urban,11.4424041620404,11,0.0,Yes,Metro,Leisure,8.3
262,41,Female,Employee,5911,Semi-Urban,39.3759075060105,78,6.23,Yes,Car,Education,7.6
263,18,Female,Business,11667,Urban,13.1411049851495,24,0.46,Yes,Metro,Work,8.4
264,26,Male,Business,4559,Rural,58.6115896925304,113,6.79,Yes,Car,Work,7.4
265,38,Female,Business,14525,Urban,7.18540699299748,14,0.12,Yes,Metro,Shopping,9.1
266,23,Female,Employee,4347,Semi-Urban,37.8933501782762,76,4.06,Yes,Car,Shopping,7.3
267,66,Male,Retired,1164,Urban,9.87236682918882,16,3.71,Yes,Car,Work,8.9
268,20,Female,Student,1410,Semi-Urban,11.9257558680404,31,0.0,No,Train,Leisure,7.1
269,35,Male,Self-Employed,7418,Semi-Urban,32.5226881545743,68,0.66,Yes,Bus,Work,5.5
270,43,Male,Employee,5752,Urban,27.2905405905443,59,3.51,Yes,Metro,Leisure,6.7
271,63,Female,Employee,6087,Urban,3.33138873723214,6,0.0,No,Bus,Shopping,6.3
272,20,Female,Employee,3753,Urban,15.9551380031535,34,2.63,No,Metro,Work,7.3
273,59,Male,Employee,6614,Urban,21.3806165061137,38,4.0,No,Metro,Work,7.7
274,42,Female,Employee,6937,Urban,33.4002454811556,70,1.8,Yes,Car,Leisure,6.1
275,27,Female,Employee,5860,Semi-Urban,27.6060052632996,54,4.52,Yes,Car,Leisure,5.5
276,48,Female,Employee,5215,Semi-Urban,25.5199909309353,45,1.02,Yes,Bus,Education,5.1
277,44,Male,Employee,5341,Urban,5.66646243248586,11,0.83,No,Metro,Shopping,7.7
278,32,Female,Employee,6334,Urban,24.1241306787697,46,0.42,Yes,Metro,Shopping,7.5
279,43,Male,Business,7373,Urban,8.06068536608739,27,1.23,Yes,Bus,Education,6.7
280,36,Female,Business,5653,Urban,12.0352285457972,26,1.4,No,Bus,Work,6.4
281,43,Male,Employee,4531,Semi-Urban,7.26593183943117,22,0.0,No,Train,Education,7.1
282,51,Male,Self-Employed,6204,Semi-Urban,48.2595776401778,102,3.07,No,Bike,Leisure,4.6
283,65,Female,Retired,3309,Urban,24.2660662462242,48,4.41,Yes,Car,Work,7.4
284,23,Male,Student,1157,Urban,21.7662005086749,41,1.71,Yes,Metro,Work,6.9
285,73,Male,Retired,3005,Semi-Urban,10.9201207796942,13,3.33,No,Bus,Work,4.9
286,18,Male,Employee,6090,Urban,19.8572083262344,35,1.3,Yes,Car,Work,8.1
